sub_id,stra_id,book_id,sub,stra,book,counterparty,parent_counterparty,counterparty_id,source_deal_header_id,source_deal_detail_id,fixed_price,deal_id,deal_date,deal_type,template,leg,term_start,term_end,curve_name,curve_id,location,location_id,buy_sell_flag,volume,volume_uom,currency,adder,multiplier,book_id1,book_id2,book_id3,book_id4,commodity,commodity_id,trader,trader_id,contract_id,contract,total_volume,position_uom,entire_term_start,entire_term_end,fixed_cost,formula,formula_curve,header_physical_financial,deal_status,header_buy_sell_flag,created_user,created_ts,fixed_cost_currency,fixed/float,formula_currency,formula_curve_id,formula_id,price_multiplier,volume_multiplier2,pay_opposite,physical_financial_flag,expiration_date,price_adder2,price_adder_currency2,price_uom,pv_party,settlement_currency,settlement_date,standard_yearly_volume,sub_book,sub_deal_type,updated_by,updated_ts,volume_frequency,adder_currency,lock_deal_detail,capacity,profile_code,sub_book_id
1188,1189,1246,Demo,GAS,Physical Gas,APX TS,NULL,4228,34637,33400,NULL,Index Physical NG ,2015-06-25 00:00:00.000,Physical,Index Physical NG,1,2015-07-01 00:00:00.000,2015-07-31 00:00:00.000,Permian Forward,4407,Permian Pool,1267,Sell,-290.000000000000000000,MMBTU,USD,0.05000000000000000000,NULL,Physical Gas,None,None,None,Natural Gas,50,Gas Hedge Trader,116,3629,BC 814,8990.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-09-30 00:00:00.000,NULL,NULL,IFERC Permian,Physical,New,Sell,farrms_admin,2015-09-11 00:00:00.000,USD,Float,NULL,4408,NULL,NULL,NULL,Yes,Physical,2015-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Physical Gas,NULL,farrms_admin,2015-11-02 13:20:31.787,Daily,NULL,No,NULL,NULL,89
1188,1189,1246,Demo,GAS,Physical Gas,APX TS,NULL,4228,34637,33401,NULL,Index Physical NG ,2015-06-25 00:00:00.000,Physical,Index Physical NG,1,2015-08-01 00:00:00.000,2015-08-31 00:00:00.000,Permian Forward,4407,Permian Pool,1267,Sell,-290.000000000000000000,MMBTU,USD,0.05000000000000000000,NULL,Physical Gas,None,None,None,Natural Gas,50,Gas Hedge Trader,116,3629,BC 814,8990.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-09-30 00:00:00.000,NULL,NULL,IFERC Permian,Physical,New,Sell,farrms_admin,2015-09-11 00:00:00.000,USD,Float,NULL,4408,NULL,NULL,NULL,Yes,Physical,2015-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Physical Gas,NULL,farrms_admin,2015-11-02 13:20:31.787,Daily,NULL,No,NULL,NULL,89
1188,1189,1246,Demo,GAS,Physical Gas,APX TS,NULL,4228,34637,33402,NULL,Index Physical NG ,2015-06-25 00:00:00.000,Physical,Index Physical NG,1,2015-09-01 00:00:00.000,2015-09-30 00:00:00.000,Permian Forward,4407,Permian Pool,1267,Sell,-290.000000000000000000,MMBTU,USD,0.05000000000000000000,NULL,Physical Gas,None,None,None,Natural Gas,50,Gas Hedge Trader,116,3629,BC 814,8700.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-09-30 00:00:00.000,NULL,NULL,IFERC Permian,Physical,New,Sell,farrms_admin,2015-09-11 00:00:00.000,USD,Float,NULL,4408,NULL,NULL,NULL,Yes,Physical,2015-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Physical Gas,NULL,farrms_admin,2015-11-02 13:20:31.787,Daily,NULL,No,NULL,NULL,89
1188,1189,1246,Demo,GAS,Physical Gas,GCP1,NULL,4210,34669,33609,NULL,Relative Curve 001,2015-06-25 00:00:00.000,Physical,Formula Physical NG,1,2015-07-01 00:00:00.000,2015-07-31 00:00:00.000,Permian Forward,4407,Permian Pool,1267,Sell,-5000.000000000000000000,MMBTU,USD,NULL,NULL,Physical Gas,None,None,None,Natural Gas,50,Gas Hedge Trader,116,3616,PAC 812,5000.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-07-31 00:00:00.000,NULL,MAX(CurveD(CIG GD,NULL)+0.05,RelativeCurveD(CIG GD, 1)-0.05),NULL,Physical,New,Sell,farrms_admin,2015-09-14 00:00:00.000,USD,Float,NULL,NULL,7675,NULL,NULL,Yes,Physical,2015-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Physical Gas,NULL,farrms_admin,2015-11-09 04:23:12.867,Monthly,NULL,No,NULL,NULL,89
1188,1189,1246,Demo,GAS,Physical Gas,GCP1,NULL,4210,34671,33611,NULL,Formula Physical NG - UT,2015-06-25 00:00:00.000,Physical,Formula Physical NG,1,2015-09-01 00:00:00.000,2015-09-30 00:00:00.000,SoCal GD,4442,GL Pool ,1298,Sell,-6000.000000000000000000,MMBTU,USD,NULL,NULL,Physical Gas,None,None,None,Natural Gas,50,Gas Hedge Trader,116,3616,PAC 812,6000.00000000000000000000,MMBTU,2015-09-01 00:00:00.000,2015-09-30 00:00:00.000,NULL,MAX(CurveD(CIG GD,NULL)+0.05,RelativeCurveD(CIG GD, 1)-0.05),NULL,Physical,New,Sell,farrms_admin,2015-09-14 00:00:00.000,USD,Float,NULL,NULL,7685,NULL,NULL,Yes,Physical,2014-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00.000,NULL,Physical Gas,NULL,farrms_admin,2015-11-04 07:11:18.710,Monthly,NULL,No,NULL,NULL,89
1188,1189,1241,Demo,GAS,Financial Gas,GCP1,NULL,4210,34688,33623,4.50000000000000000000,Swap NG ,2015-06-25 00:00:00.000,Swap,Swap,1,2015-09-01 00:00:00.000,2015-09-30 00:00:00.000,IFERC Permian,4408,IFERC Permian,NULL,Sell,-300.000000000000000000,MMBTU,USD,NULL,NULL,Financial Gas,None,None,None,Natural Gas,50,Gas Hedge Trader,116,3616,PAC 812,9000.00000000000000000000,MMBTU,2015-09-01 00:00:00.000,2015-09-30 00:00:00.000,NULL,NULL,NULL,Financial,New,Sell,farrms_admin,2015-09-14 00:00:00.000,USD,Float,NULL,NULL,NULL,NULL,NULL,Yes,Financial,2015-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Financial Gas,NULL,farrms_admin,2015-11-09 10:44:01.633,Daily,NULL,No,NULL,NULL,88
1188,1189,1241,Demo,GAS,Financial Gas,New York Mercantile Exchange, Inc.,NULL,4212,34697,33631,3.12000000000000000000,Future NG-UT,2015-06-25 00:00:00.000,Future,NULL,1,2015-07-01 00:00:00.000,2015-07-31 00:00:00.000,NYMEX-HH,4409,NYMEX-HH,NULL,Buy,4.000000000000000000,NYMEX Lots,USD,NULL,NULL,Financial Gas,None,None,None,Natural Gas,50,Gas Hedge Trader,116,3616,PAC 812,40000.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-07-31 00:00:00.000,NULL,NULL,NULL,Financial,New,Buy,farrms_admin,2015-09-14 00:00:00.000,USD,Float,NULL,NULL,NULL,NULL,NULL,Yes,Financial,2014-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Financial Gas,NULL,farrms_admin,2015-10-27 15:16:52.700,Monthly,NULL,No,NULL,NULL,88
1188,1189,1241,Demo,GAS,Financial Gas,BPL,NULL,4206,34698,33632,NULL,Basis Swap NG-UT,2015-06-25 00:00:00.000,Swap,Basis Swap NG,1,2015-07-01 00:00:00.000,2015-07-31 00:00:00.000,IFERC Permian,4408,IFERC Permian,NULL,Sell,-300.000000000000000000,MMBTU,USD,0.10000000000000000000,NULL,Financial Gas,None,None,None,Natural Gas,50,Gas Sales Trader,118,3616,PAC 812,9300.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-12-31 00:00:00.000,NULL,NULL,NYMEX-HH,Financial,New,Sell,farrms_admin,2015-09-14 00:00:00.000,USD,Float,NULL,4409,NULL,NULL,NULL,Yes,Financial,2014-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Financial Gas,NULL,farrms_admin,2015-09-30 03:56:56.367,Daily,NULL,No,NULL,NULL,88
1188,1189,1241,Demo,GAS,Financial Gas,BPL,NULL,4206,34698,33633,NULL,Basis Swap NG-UT,2015-06-25 00:00:00.000,Swap,Basis Swap NG,1,2015-08-01 00:00:00.000,2015-08-31 00:00:00.000,IFERC Permian,4408,IFERC Permian,NULL,Sell,-300.000000000000000000,MMBTU,USD,0.10000000000000000000,NULL,Financial Gas,None,None,None,Natural Gas,50,Gas Sales Trader,118,3616,PAC 812,9300.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-12-31 00:00:00.000,NULL,NULL,NYMEX-HH,Financial,New,Sell,farrms_admin,2015-09-14 00:00:00.000,USD,Float,NULL,4409,NULL,NULL,NULL,Yes,Financial,2014-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Financial Gas,NULL,farrms_admin,2015-09-30 03:56:56.367,Daily,NULL,No,NULL,NULL,88
1188,1189,1241,Demo,GAS,Financial Gas,BPL,NULL,4206,34698,33634,NULL,Basis Swap NG-UT,2015-06-25 00:00:00.000,Swap,Basis Swap NG,1,2015-09-01 00:00:00.000,2015-09-30 00:00:00.000,IFERC Permian,4408,IFERC Permian,NULL,Sell,-300.000000000000000000,MMBTU,USD,0.10000000000000000000,NULL,Financial Gas,None,None,None,Natural Gas,50,Gas Sales Trader,118,3616,PAC 812,9000.00000000000000000000,MMBTU,2015-07-01 00:00:00.000,2015-12-31 00:00:00.000,NULL,NULL,NYMEX-HH,Financial,New,Sell,farrms_admin,2015-09-14 00:00:00.000,USD,Float,NULL,4409,NULL,NULL,NULL,Yes,Financial,2014-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Financial Gas,NULL,farrms_admin,2015-09-30 03:56:56.367,Daily,NULL,No,NULL,NULL,88
